12268,12713,12809,12818,12346,12601,12707,12912,12320,12471,12486,12751,12235,12242,12464,12488,13026,13289,13312,13239,12799,13124,12944,13134,12728,13049,12886,12971,12406,12546,12637,12619,14327,14211,14107,13747,13836,13885,13743,13651,13584,13600,13398,13336,13162,13031,13239,13253,19063,17213,15959,14904,17363,16163,14811,14156,15373,14888,14364,14270,14439,13948,14012,13701,1
12029,11976,11979,12029,12216,12120,12157,12111,12044,12100,12169,12035,12200,12029,12037,12121,12116,12000,12088,12058,12205,12085,12012,12131,12027,12104,12103,12117,12004,12018,12057,12111,11964,12118,12100,12347,12116,12159,12036,12214,12048,12078,12104,12125,12043,12124,12064,12068,12093,12124,12143,12224,12230,12047,12031,12151,12135,12103,12126,12278,12060,12130,12111,12031,0
12211,12168,12061,12053,12195,12149,11991,11981,12113,12171,12074,12053,12285,12136,12146,12116,12153,12099,12104,11995,12044,12015,12057,12094,12143,12050,12146,12084,12023,12076,12211,12121,12176,12040,12108,12154,12009,11867,12132,12149,12211,12101,11928,11957,12094,12156,12159,12211,12094,12086,11978,12039,11987,12025,12001,12085,12050,12114,12046,12166,12081,12217,12174,12330,1
12050,12026,12010,12104,11931,11935,11899,11973,11989,11948,12051,12134,11969,12031,12205,12123,11973,12082,11931,12007,11936,11992,11898,11953,11942,11885,12045,11994,11956,12057,11992,12021,11935,11967,12067,11970,12019,11984,12000,11849,11959,11972,12060,12092,11869,11917,11984,12176,12001,12001,12052,11995,11993,11959,12041,12243,11860,11924,11955,12143,11905,12027,12008,11848,0
12062,12138,12098,12096,11949,12031,12054,12202,12263,12321,12239,12187,12920,13138,12296,12250,12150,12039,12126,12208,12068,12005,12140,12114,12772,12538,12291,12118,13014,13085,12136,12143,12113,12148,12209,12218,12138,12124,12255,12126,13102,12685,12347,12254,12794,12355,12146,12103,12150,12221,12145,12248,12296,12200,12138,12195,12897,12417,12222,12280,12175,12085,12113,12204,1
11898,11964,12022,12053,11915,12089,12103,12133,11948,12026,12003,12086,11921,12139,12061,12105,11978,12083,12018,12012,11962,12012,12059,12023,11950,11939,12066,12108,11934,12024,11998,11997,12094,12044,11922,11998,11979,11973,12109,11986,12012,12147,12000,12029,12091,12252,12088,11907,12151,11955,11929,12080,11989,12186,12015,12011,12021,12006,12006,12100,12072,12047,12039,11998,0
11989,12049,12056,11994,12176,12141,12042,12039,12268,12079,12173,12112,12188,12403,12333,12264,12016,12001,12062,11848,12005,12098,12150,12060,12092,11996,12281,12150,12165,12612,12554,12468,12257,11946,11975,12069,12035,12026,12103,12045,12122,12108,12082,12294,12229,12486,12337,12555,12171,12110,12059,12136,12090,12099,12058,12139,12108,12115,12210,12231,12256,12436,12633,12869,1
11969,12031,11963,12098,12040,12031,12080,11976,11982,12144,12206,11927,12270,12137,11886,12114,11955,12033,11978,11973,11932,12069,11965,11963,12035,12075,12016,12044,12115,12068,11982,12006,12052,11986,11978,12049,12106,12009,11891,12023,12108,12285,11944,12212,11970,12073,12042,12021,12060,11973,11956,11941,12042,12043,11863,12089,12139,12126,11975,12199,12133,11974,12072,11964,0
11984,12123,12062,12002,12111,11961,12076,12128,12089,12071,12258,12058,12066,12080,12132,11977,12012,12164,12225,12072,12235,12162,12292,12253,12395,12223,12364,12168,12221,12160,12173,12101,12174,12080,12092,12107,12160,12169,12184,12302,12201,12170,12141,12209,12159,12056,11928,12072,12220,12138,12132,12109,12184,12154,12201,12233,12046,12031,12031,12189,12148,11922,12081,12249,1
12119,12027,12062,12163,12384,12099,12073,12081,12487,12161,11953,12134,12158,12031,11930,12036,12068,12090,12145,12093,12217,12153,12183,12066,12138,12130,11955,11935,12078,12113,12152,11971,11967,12012,12151,12315,12189,12162,12164,12235,12069,12148,12127,11946,12249,12019,12105,12024,12088,12035,11954,12177,11993,12054,11979,12182,12047,12010,12096,11994,12131,11978,11975,11906,0
