21610,40614,65520,65520,20431,35898,65520,65520,19685,34695,64911,65520,18898,32630,65050,65320,24838,52337,65520,65520,23700,46863,65520,65520,21787,40026,65520,65520,19777,37601,65520,65520,28456,60961,65520,65520,26093,53327,65520,65520,24321,49689,65520,65520,21204,43143,65520,65520,32742,64982,65520,65520,30323,62137,65520,65520,26631,59067,65520,65520,22551,49070,65520,65520
52442,37350,27071,20717,62552,46815,30563,22242,65520,55566,33575,23513,65520,61484,39044,24409,59504,40441,29768,21586,65112,47047,32102,22368,65520,58151,34367,23240,65520,63080,37145,24505,62691,42646,27728,20931,65515,50542,31819,21813,65520,57094,34239,23230,65520,61002,37357,24440,64656,45526,29672,21345,65520,51547,31567,22410,65520,55022,32830,22573,65520,57663,34160,23510
12277,12240,12439,12808,12531,12287,12489,12622,12291,12369,12691,12657,12563,12543,12774,12777,12343,12304,12688,12716,12339,12394,12552,12471,12300,12722,12851,12439,12708,13312,13435,12679,12224,12536,12949,12523,12532,13064,12802,12601,12851,13568,12781,12916,15716,14316,13101,12689,13167,13403,12816,12508,14473,13682,12957,12474,17625,15181,13594,12890,17796,15084,13289,12877
12227,12452,12307,12214,12372,12362,12432,12298,12292,12431,12260,12422,12181,12283,12224,12404,12289,12446,12434,12196,12467,12402,12234,12145,12350,12558,12253,12265,12220,12338,12310,12305,12336,12530,12466,12518,12355,12333,12395,12365,12281,12253,12329,12286,12204,12185,12490,12272,12289,12305,12266,12395,12275,12315,12303,12431,12358,12196,12320,12389,12347,12302,12375,12373
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12303,12421,12592,12695,12676,13523,12885,12781,13208,13555,13262,12397,13128,13301,13237,12798,12672,13675,13921,13108,13368,13851,13552,13081,12735,12534,12794,12709,12253,12370,12561,12712,13326,14827,15164,13573,13114,13251,13014,12857,12432,12339,12636,12605,12138,12349,12388,12584,12944,13496,14162,13323,12456,12279,12548,12737,12611,12384,12369,12473,12294,12396,12295,12335
12928,12747,12712,13120,12535,12453,12384,12645,12629,12441,12279,12426,12517,12552,12413,12310,14069,15673,17859,14419,12852,13996,14177,13330,12713,12653,12335,12622,12664,12529,12399,12480,13908,16546,17842,15357,13512,15700,17222,14445,13319,14132,14029,13483,12754,12598,12578,13127,12679,13187,13923,13775,13791,16326,16955,14464,14310,16640,17269,14801,13499,14289,14587,13348
12366,12337,12200,12557,12199,12245,12308,12306,12129,12243,12245,12389,12250,12330,12268,12197,12278,12321,12257,12435,12202,12304,12258,12321,12279,12284,12431,12300,12211,12410,12454,12378,12641,12425,12339,12332,12503,12381,12353,12207,12447,12534,12327,12376,12436,12422,12218,12226,12952,12588,12252,12270,12825,12599,12324,12306,12700,12458,12424,12343,12660,12413,12331,12352
12154,12334,12270,12356,12172,12096,12072,12052,12121,12115,12266,12186,12262,12314,12158,12307,12056,12247,12180,12193,12135,12092,12163,12132,12221,12226,12257,12150,12237,12182,12118,12172,12136,12083,12216,12289,12202,12169,12272,12277,12163,12219,12235,12273,12032,12195,12240,12231,12243,12170,12179,12112,12104,12338,12590,12180,12024,12138,12160,12104,11976,12225,12245,12148
12265,12113,12244,12339,12271,12227,12322,12414,12242,12104,12180,12428,12225,12241,12333,12529,12208,12109,12330,12558,12151,12233,12374,12561,12252,12240,12471,12910,12428,12519,12731,13028,12237,12313,13157,13116,12232,12592,13232,13439,12173,12766,13752,13798,12437,12952,14062,13571,13079,14661,14002,13692,13374,15174,14808,13883,14469,18128,15756,13991,15639,20331,16752,13656
15724,22149,24851,23721,15086,18780,22197,19955,13849,14830,15748,14174,12819,12821,12640,12513,15862,19717,23556,19819,14045,15376,16279,15416,12794,13418,13018,12649,12614,12733,12373,12590,13635,14955,15221,14796,12763,13057,12578,12716,12515,12543,12380,12387,12605,12686,12270,12552,12697,12755,12568,12604,12704,12535,12393,12410,12359,12548,12386,12302,12361,12227,12341,12370
12109,12519,12481,12500,12375,12681,13555,13850,12603,13368,14403,14817,12455,13192,14615,15173,12387,13554,14488,13886,12679,14034,16135,16275,12796,14575,16308,16866,12994,14547,16454,16390,13844,15977,17605,15967,13532,16231,18019,17082,13394,14927,17174,15990,13489,15022,16574,16103,14167,16496,17783,16318,13510,15727,16288,15263,13223,13813,14632,14229,12706,14105,13651,14059
12439,12616,13522,13812,13362,15133,14806,14640,17786,23527,18720,15720,19839,26503,23036,18531,16520,17628,16004,14667,21124,23383,16882,14962,21028,25066,21114,16019,17279,23515,19849,15861,28411,30551,18293,15807,24051,27149,19692,15419,18337,20063,17072,14405,17084,18375,15399,14448,24295,25678,18535,15454,18923,18386,16264,14251,19386,18299,14835,13740,15548,16386,13804,13499
12374,12436,12075,12405,12351,12245,12364,12444,12537,12245,12280,12496,12397,12174,12338,12642,12250,12172,12247,12864,12228,12275,12391,12946,12335,12250,12353,13561,12556,12398,12617,14031,12435,12463,12911,13013,12418,12493,13178,13744,12852,13353,14817,14599,13892,16325,22486,16599,12989,14810,15746,14075,13456,15894,15661,14217,15736,22410,19021,16015,18064,31696,33203,19614
12642,12377,12353,12259,12624,12328,12496,12383,12296,12120,12329,12354,12379,12409,12204,12318,12237,12330,12304,12406,12503,12333,12282,12286,12413,12360,12354,12461,12457,12429,12402,12461,12195,12296,12277,12262,12507,12452,12270,12217,12443,12352,12436,12261,12480,12216,12181,12352,12574,12290,12284,12305,12262,12374,12459,12317,12311,12513,12422,12176,12187,12233,12265,12458
12538,13350,15810,16482,12738,14096,17292,19455,12741,13958,18474,23374,13010,14493,19028,24152,12922,15450,19396,23935,13074,16217,20551,25834,13278,15071,20256,24214,12694,13699,17774,24138,13551,17304,24073,26052,13109,15699,22789,26588,12839,14548,17298,22157,12678,12982,13988,15428,13065,14392,16737,16196,12728,13265,16001,15311,12547,12956,13047,13051,12351,12391,12425,12789
12443,12406,12294,12443,12242,12196,12378,12282,12363,12414,12247,12161,12329,12332,12265,12406,12356,12308,12334,12517,12261,12308,12236,12387,12400,12382,12464,12337,12320,12274,12390,12296,12499,12348,12573,12338,12287,12424,12486,12284,12355,12254,12422,12398,12368,12325,12267,12309,12592,12297,12335,12166,12190,12266,12446,12366,12485,12225,12515,12379,12377,12490,12427,12285
13079,14421,18452,19480,12817,13739,16803,17499,12603,13188,15034,15147,12667,12915,13586,13664,12594,12909,12882,12930,12767,12676,12518,12531,12682,12416,12492,12450,12497,12487,12520,12253,12409,12546,12414,12470,12524,12422,12297,12462,12488,12516,12401,12537,12440,12299,12413,12236,12300,12333,12327,12259,12341,12337,12328,12272,12270,12228,12269,12253,12400,12298,12320,12247
12058,12206,12387,12371,12079,12164,12382,12254,12206,12159,12183,12241,12228,12163,12086,12191,12120,12180,12353,12146,12128,12188,12216,12180,12237,12114,12064,12138,12220,12151,12141,12089,12065,12099,12162,12195,12125,12165,12256,12164,12192,12085,12256,12319,12217,12174,12173,12214,12129,12062,12164,12137,12199,12195,12175,12125,12265,12110,12210,12257,12240,12316,12198,12497
12102,12122,12198,12126,12159,12150,12104,12296,12216,12188,12189,12328,12195,12129,12371,12231,12023,12127,12197,12195,12169,12220,12196,12272,12191,12306,12083,12291,12298,12301,12218,12361,11987,11996,12005,12165,12095,12169,12182,12081,12120,12167,12152,12299,12130,12337,12373,12292,11981,11992,12116,12199,12093,12160,12101,12209,12166,12085,12049,12306,12173,12187,12344,12168
12202,12120,12305,12211,12209,12110,12202,12236,12306,12159,12163,12311,12202,12116,12178,12236,12205,12221,12237,12167,12280,12323,12394,12242,12148,12163,12130,12202,12182,12108,12278,12073,12197,12259,12313,12269,12251,12293,12404,12477,12181,12276,12202,12149,12270,12253,12228,12151,12177,12235,12132,12240,12213,12013,12172,12210,12319,12227,12244,12161,12264,12226,12338,12242
12089,12212,12341,12124,12072,12245,12320,12207,12256,12305,12165,12294,12220,12264,12306,12306,12188,12078,12286,12187,12222,12059,12318,12197,12382,12131,12229,12401,12648,12681,12230,12386,12170,12314,12516,12237,12264,12276,12317,12439,12369,12225,12346,12443,12248,12195,12346,12290,12336,12296,12297,12813,12327,12298,12414,12586,12390,12326,12409,12763,12204,12447,12346,12762
12299,12263,12124,12134,12456,12352,12024,12104,12356,12271,12087,12085,12304,12343,12104,12355,12325,12290,12062,12108,12287,12317,11978,12057,12155,12196,12041,12104,12218,12262,12363,12457,12288,12056,12065,11955,12354,12193,12015,12093,12382,12088,12068,12110,12256,12209,12275,12321,12220,12071,12045,11924,12312,12104,12052,12102,12316,12094,12087,12131,12269,12353,12310,12482
12240,12442,12282,12253,12220,12277,12342,12291,12362,12398,12478,12397,12265,12366,12364,12241,12167,12210,12236,12282,12337,12369,12338,12321,12477,12413,12265,12298,12271,12353,12232,12261,12153,12345,12174,12200,12208,12269,12222,12281,12383,12269,12384,12316,12538,12538,12341,12324,12313,12221,12214,12184,12235,12226,12343,12307,12170,12196,12378,12310,12299,12262,12272,12273
12220,12208,12243,12183,12262,12248,12164,12128,12296,12246,12204,12292,12164,12215,12209,12187,12133,12135,12111,12211,12169,12215,12165,12233,12183,12189,12202,12299,12200,12305,12184,12273,12088,12081,12198,12232,12186,12217,12204,12174,12106,12167,12194,12256,12176,12252,12207,12237,12322,12166,12155,12186,12149,12152,12101,12173,12009,12136,12203,12239,12292,12091,12251,12252
12244,12173,12199,12086,12250,12210,12312,12352,12232,12297,12221,12282,12116,12126,12172,12289,12217,12214,12110,12097,12243,12341,12144,12387,12260,12257,12179,12224,12106,12246,12203,12186,12241,12245,12151,12149,12187,12164,12297,12187,12150,12286,12155,12095,12156,12184,12209,12236,12130,12193,12188,12120,12268,12155,12190,12182,12217,12309,12255,12334,12208,12133,12221,12202
12153,12059,12077,12031,12062,12112,11998,12108,12118,12268,12207,12105,12150,12014,12099,12115,12097,12072,12032,11990,12078,12033,12051,12023,12268,12274,12066,12135,12126,12071,12210,12251,12091,12203,12320,12059,12095,12115,12156,12180,12153,12266,12246,12240,12221,12039,12180,12151,12144,12090,12247,12145,12083,12229,12251,12172,12196,12294,12122,12180,12220,12215,12249,12150
12161,12011,11997,12085,12058,12102,12049,12107,12000,12140,11968,12134,12020,12207,12033,12021,12057,12022,11970,12046,12085,12085,12082,12095,12097,12027,12066,12076,12017,12046,12071,12048,12058,12079,12109,11992,12041,12201,12153,12023,12095,12099,11969,12030,11965,12154,12109,11946,12076,12048,12182,12085,12059,12082,12308,12054,12042,12096,12011,12004,12058,11989,12034,11978
12323,12276,12289,12245,12101,12155,12308,12246,12083,12039,12130,12202,12080,12116,12145,12143,12185,12141,12248,12270,12083,12152,12162,12116,12249,12144,12150,12217,12171,12168,11985,12071,12316,12185,12193,12499,12202,12115,12095,12184,12139,12256,12110,12189,12338,12253,11920,12145,12278,13853,14720,13702,12339,12623,12810,12635,12444,12291,12204,12562,12373,12187,12178,12312
12597,12592,12242,12174,12428,12450,12331,12129,12449,12545,12360,12231,12330,12242,12341,12186,12611,12475,12560,12495,12446,12513,12301,12224,12426,12380,12216,12290,12522,12293,12402,12277,12461,12525,12360,12476,12239,12364,12348,12464,12462,12302,12402,12461,12741,12436,12381,12286,12783,12480,12471,12402,12442,12443,12285,12441,12208,12199,12329,12348,12339,12290,12404,12282
12220,12153,12234,12224,12132,12164,12202,12243,12265,12367,12336,12291,12246,12269,12304,12323,12446,12107,12194,12218,12296,12342,12264,12365,12116,12271,12278,12242,12070,12207,12330,12295,12357,12524,12385,12134,12700,12445,12504,12243,12601,12485,12485,12406,12835,12674,12532,12206,13804,13139,12566,12233,14187,13672,12728,12476,13634,12805,12524,12401,13022,12940,12392,12215
12098,12218,12046,12197,12233,12295,12176,12143,12146,12269,12118,12181,12221,12248,12427,12123,12196,12189,12110,12208,12129,11976,12077,12292,11963,12109,12135,12273,12021,12363,12266,12268,12150,12212,12162,12106,12146,12106,12163,12056,12013,12120,12199,12300,12039,12232,12321,12367,12168,12296,12205,12241,12161,12286,12186,12126,12171,12232,12299,12253,12123,12147,12205,12227
12055,12027,12312,12370,12033,12006,12092,12162,12021,12097,12125,12020,11960,12149,12123,12135,12029,12069,12190,12278,12099,12059,12067,12200,12043,12071,12129,12129,12018,12089,12048,12147,12008,12013,12043,12081,11969,12015,12061,12042,12017,12179,12099,12150,12057,12156,12082,12185,12418,12165,12025,12001,12283,12144,12126,12041,12195,12123,12098,12091,12198,12083,12075,12086
13003,12364,12446,12299,12778,12358,12595,12367,12618,12562,12360,12358,12452,12348,12344,12289,12779,12362,12307,12270,12720,12439,12319,12255,12627,12646,12328,12263,12573,12411,12393,12262,12673,12426,12130,12228,12592,12462,12192,12155,12572,12430,12265,12288,12357,12255,12377,12389,12748,12542,12256,12106,12523,12393,12213,12119,12376,12249,12331,12334,12419,12339,12386,12281
12243,12117,12082,12187,12111,12132,12073,12070,12067,12102,12026,12173,11950,12146,12154,12226,12186,12110,12042,12283,12018,12083,12062,12185,12176,12294,12194,12153,12118,12267,12187,12102,12258,12123,12125,12254,12071,12152,12198,12158,12249,12535,12713,12509,12189,12092,12290,12333,12148,12090,12087,12155,12110,12272,12200,12315,12166,12137,12230,12395,12033,12202,12199,12351
13313,13089,13802,14221,12450,12458,12864,13866,12661,12580,12602,12934,12358,12461,12488,12514,12485,12650,13141,13189,12603,12387,12478,12575,12738,12791,12813,12681,12414,12455,12653,12567,12490,12379,12602,13056,12587,12455,12420,12570,12460,12514,12483,12739,12481,12400,12610,12543,12444,12334,12476,12593,12357,12319,12471,12510,12533,12469,12538,12577,12832,12620,12552,12753
14330,14004,14101,13041,12384,12403,12648,12888,12363,12487,12719,12865,12482,12705,12707,12719,12619,13724,14055,13039,12355,12564,12647,12829,12417,12480,12814,12824,12544,12719,12701,12718,12497,12964,13067,13070,12468,12471,12710,12886,12466,12417,12612,12710,12507,12465,12616,12513,12520,12603,12885,13071,12438,12607,12414,12923,12495,12536,12631,12809,12554,12591,12639,12708
12183,12128,12230,12180,12192,12265,12336,12413,12236,12131,12309,12307,12395,12325,12106,12092,12166,12159,12199,12206,12206,12149,12407,12244,12255,12204,12114,12169,12344,12400,12276,12175,12068,12201,12279,12196,12128,12179,12469,12441,12358,12302,12220,12179,12366,12243,12197,12270,12235,12210,12310,12437,12118,12258,12232,12291,12178,12221,12311,12172,12255,12313,12154,12329
12089,12153,12071,12168,12051,12133,12128,12181,12126,12267,12254,12174,12213,12277,12308,12223,12104,12086,12117,12169,12012,12141,12079,12161,12243,12271,12401,12300,12328,12470,12415,12369,12070,12184,12238,12176,12094,12217,12175,12115,12185,12281,12116,12295,12194,12211,12253,12126,12162,12165,12133,12179,12223,12199,12132,12053,12241,12243,12096,12235,12169,12180,12094,12175
12500,12385,12394,12075,12380,12373,12185,12254,12395,12356,12259,12258,12409,12179,12207,12107,12315,12303,12168,12189,12407,12351,12329,12260,12390,12342,12181,12121,12375,12238,12454,12068,12219,12358,12081,12185,12275,12340,12234,12114,12331,12239,12179,12184,12401,12346,12285,12154,12275,12206,12292,12221,12237,12305,12279,12319,12390,12303,12181,12219,12246,12273,12189,12152
